,OPEN,HIGH,LOW,CLOSE,VWAP,VOLUME,AMT,TURN,TOTAL_SHARES,FREE_FLOAT_SHARES,MKT_CAP_ARD,MKT_FREESHARES,PE_TTM,VAL_PB_WGT,DIVIDENDYIELD2
2009-06-24,3079.495,3121.207,3068.242,3120.73,12.10253589748377,10942431300.0,132431167614.0,2.257,1981410366370.0,402997731480.0,19358552983911.0,5170646446208.578,27.7052001953125,3.2386,1.4398
2009-06-25,3125.662,3141.166,3103.871,3117.921,13.006960142699242,8280688700.0,107706587875.0,1.7064,1981410366370.0,403449870974.0,19386392822624.0,5167877442722.772,27.7450008392334,3.2435,1.4312
2009-06-26,3126.228,3137.082,3109.316,3128.421,12.576220590236938,7050090800.0,88663497082.0,1.4528,1981690707883.0,403467533213.0,19411097395001.0,5182188579233.951,27.78039932250977,3.2672,1.5817
2009-06-29,3132.113,3182.415,3122.164,3179.972,12.652107379812776,8499707500.0,107539211987.0,1.7472,1983128082883.0,403717385555.0,19710781955959.0,5290150768756.029,28.209199905395508,3.318,1.4165
2009-06-30,3191.641,3195.716,3159.626,3166.474,13.703955295770005,8678234700.0,118926140375.0,1.7817,1983136270405.0,403743448777.0,19585609412071.0,4844308532754.052,28.03009986877441,3.2975,1.4305
2009-07-01,3153.537,3238.792,3150.654,3237.903,13.391433012587395,9695056500.0,129830699673.0,2.0169,1991480326486.0,401916974639.0,20213351716651.0,4986527100769.271,27.644800186157227,3.3856,1.4377
2009-07-02,3248.204,3285.093,3247.573,3282.359,13.505223848553298,11298929400.0,152594570796.0,2.3495,1991480349207.0,402121074290.0,20585488411410.0,5055060896610.246,28.15379905700684,3.4481,1.3928
2009-07-03,3254.93,3327.669,3249.11,3327.135,13.4803610814724,10573259200.0,142531351824.0,2.1985,1995892521670.0,402199061550.0,20774268461390.0,5219954763813.43,28.411300659179688,3.48,1.3921
2009-07-06,3333.096,3378.055,3333.096,3374.753,13.001041628511356,13526404900.0,175857353189.0,2.0618,1995892521670.0,581649481591.0,21080841215059.0,5297179281260.279,28.83060073852539,3.5315,1.371
2009-07-07,3368.33,3393.224,3327.354,3340.493,12.380370693316484,12960079900.0,160450593377.0,1.9755,1995892521670.0,581649481591.0,20790538469420.0,5247986045144.727,28.4335994720459,3.4829,1.388
2009-07-08,3306.428,3368.066,3261.32,3352.269,12.936345602706696,11386759200.0,147303052306.0,1.7352,1995892521670.0,582056623807.0,20668041078964.0,5265525194275.26,28.266000747680664,3.4626,1.3871
2009-07-09,3348.221,3396.483,3334.68,3396.304,13.109970612263508,11308152300.0,148249544332.0,1.7225,1995892521670.0,582306623807.0,20919546990370.0,5350042383309.431,28.61459922790528,3.5052,1.3719
2009-07-10,3398.911,3428.029,3375.965,3398.31,13.256036446820884,10617491200.0,140745850321.0,1.6171,1996044621670.0,582381349333.0,20849316731449.0,5365031275031.468,28.518600463867188,3.4929,1.3764
2009-07-13,3382.574,3403.74,3358.518,3361.011,13.280614807413851,9961965100.0,132301021218.0,1.5173,1996044641209.0,582381390707.0,20571529648187.0,5309886335301.95,28.14240074157715,3.4476,1.3967
